City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,qarazhal,48.0078,70.7903,3.77,65,79,3.29,KZ,1681932566
83,abepura,-2.6333,140.5833,23.45,94,20,2.57,ID,1681932461
84,port mathurin,-19.6833,63.4167,26.04,77,38,9.02,MU,1681932404
85,grytviken,-54.2811,-36.5092,3.07,93,100,1.9,GS,1681932414
86,gaalkacyo,6.7697,47.4308,27.94,57,11,7.73,SO,1681932567
87,rumyantsevo,55.9728,36.5342,7.82,61,92,2.4,RU,1681932567
88,hamilton,39.1834,-84.5333,27.04,35,0,5.14,US,1681932240
89,santa cruz,-17.8,-63.1667,22.03,88,100,5.14,BO,1681932568
90,olyokminsk,60.3736,120.4264,-7.82,95,100,0.77,RU,1681932568
91,esquipulas,14.5667,-89.35,32.0,35,75,2.06,GT,1681932569
92,zdunska wola,51.5992,18.9397,7.99,95,100,0.89,PL,1681932569
93,samana,19.2056,-69.3369,32.12,62,40,4.12,DO,1681932569
94,klyuchi,52.2667,79.1667,-6.59,84,4,3.52,RU,1681932419
95,brookings,44.3114,-96.7984,13.19,83,100,5.66,US,1681932346
96,wailua homesteads,22.0669,-159.378,25.07,71,20,3.6,US,1681932402
97,lebu,-37.6167,-73.65,15.02,79,100,8.55,CL,1681932403
98,thunder bay,48.4001,-89.3168,4.99,30,75,5.14,CA,1681932457
99,college,64.8569,-147.8028,-0.67,54,40,3.09,US,1681932418
100,vrede,-27.4257,29.1659,12.09,32,0,1.05,ZA,1681932570
101,stanley,54.868,-1.6985,7.66,88,20,4.12,GB,1681932404
102,iqaluit,63.7506,-68.5145,-9.15,92,100,0.0,CA,1681932402
103,suva,-18.1416,178.4415,23.71,100,20,1.54,FJ,1681932359
104,kosong,38.3788,128.4676,21.27,80,90,3.64,KR,1681932570
105,oodweyne,9.4092,45.064,27.74,33,0,2.63,SO,1681932571
106,labytnangi,66.6572,66.4183,-10.77,92,100,2.67,RU,1681932571
107,basco,20.4487,121.9702,26.66,87,98,5.7,PH,1681932571
108,reggane,26.7158,0.1714,32.34,11,0,7.11,DZ,1681932472
109,kungur,57.4368,56.9593,5.38,65,73,2.57,RU,1681932573
110,margate,51.3813,1.3862,9.94,76,0,4.47,GB,1681932524
111,taltal,-25.4,-70.4833,21.02,67,24,2.08,CL,1681932573
112,coquimbo,-29.9533,-71.3436,18.85,68,0,6.69,CL,1681932573
113,pariaman,-0.619,100.12,24.03,86,100,0.61,ID,1681932573
114,margaret river,-33.95,115.0667,12.78,62,0,3.41,AU,1681932413
115,bac lieu,9.285,105.7244,28.35,75,8,3.41,VN,1681932408
116,rufino,-34.2683,-62.7126,24.32,30,1,8.53,AR,1681932575
117,port douglas,-16.4833,145.4667,23.94,83,14,2.43,AU,1681932481
118,el obeid,13.1842,30.2167,29.49,7,0,3.96,SD,1681932576
119,lospalos,-8.5186,127.0025,21.07,89,41,2.52,TL,1681932576
120,karratha,-20.7377,116.8463,23.57,36,5,6.0,AU,1681932418
121,wingham,43.8879,-81.3114,6.89,71,99,3.3,CA,1681932571
122,mancio lima,-7.6142,-72.8958,35.04,52,75,2.57,BR,1681932470
123,luganville,-15.5333,167.1667,24.75,85,96,0.25,VU,1681932469
124,sungai penuh,-2.0833,101.3833,18.74,98,100,0.8,ID,1681932577
125,along,28.1667,94.7667,19.82,83,54,1.04,IN,1681932578
126,chengde,40.9725,117.9361,14.67,46,100,4.21,CN,1681932474
127,capo d'orlando,38.1435,14.7305,14.12,77,9,2.44,IT,1681932578
128,sirte,31.2089,16.5887,18.77,58,5,8.14,LY,1681932578
129,carnarvon,-24.8667,113.6333,23.96,42,79,5.92,AU,1681932467
130,kodiak,57.79,-152.4072,3.73,65,75,5.14,US,1681932149
131,port augusta,-32.5,137.7667,12.98,69,0,3.75,AU,1681932461
132,awash,8.9833,40.1667,26.73,49,7,4.91,ET,1681932579
133,nagqu,31.5,92.0,3.2,49,100,3.97,CN,1681932579
134,chernyshevskiy,63.0128,112.4714,-10.18,89,100,2.8,RU,1681932579
135,hadibu,12.65,54.0333,28.08,71,19,3.06,YE,1681932474
136,georgetown,5.4112,100.3354,28.97,77,20,1.54,MY,1681932402
137,inhambane,-23.865,35.3833,20.99,94,20,1.54,MZ,1681932459
138,hammerfest,70.6634,23.6821,5.25,93,75,10.29,NO,1681932580
139,iskateley,67.6803,53.1512,0.22,98,100,7.56,RU,1681932580
140,glace bay,46.1969,-59.957,15.25,64,75,6.17,CA,1681932418
141,dwarka,22.2394,68.9678,27.13,73,9,5.02,IN,1681932422
142,antonio enes,-16.2325,39.9086,25.17,75,18,2.6,MZ,1681932580
143,saldanha,-33.0117,17.9442,15.03,83,100,4.24,ZA,1681932401
144,wuzhen,30.7454,120.4851,17.14,91,100,2.29,CN,1681932581
145,new plymouth,-39.0667,174.0833,19.34,95,90,2.8,NZ,1681932581
146,ancud,-41.8697,-73.8203,14.76,87,89,2.37,CL,1681932422
147,todos santos,23.45,-110.2167,20.25,76,100,4.95,MX,1681932581
148,banda aceh,5.5577,95.3222,27.14,80,92,3.7,ID,1681932162
149,mili,6.0815,171.735,27.66,80,100,6.55,MH,1681932581
150,nea ionia,38.0373,23.7595,16.31,76,75,2.68,GR,1681932581
151,victoria,22.2855,114.1577,24.1,94,93,3.58,HK,1681932407
152,squamish,49.7014,-123.1512,8.99,83,100,1.03,CA,1681932581
153,constantia,44.1833,28.65,10.39,93,100,4.11,RO,1681932405
154,san felice circeo,41.2372,13.0942,13.92,96,0,1.66,IT,1681932582
155,pisco,-13.7,-76.2167,25.03,69,0,7.72,PE,1681932285
156,tiksi,71.6872,128.8694,-23.1,100,100,1.67,RU,1681932402
157,st. john's,47.5649,-52.7093,3.21,87,100,8.23,CA,1681932331
158,al hufuf,25.3646,49.5653,23.19,46,0,1.54,SA,1681932582
159,chegdomyn,51.1167,133.0167,0.4,64,100,1.6,RU,1681932411
160,savanna-la-mar,18.219,-78.1332,29.97,73,25,0.48,JM,1681932582
161,bilibino,68.0546,166.4372,-6.58,92,100,0.99,RU,1681932465
162,fort bragg,35.139,-79.006,30.67,24,0,2.06,US,1681932410
163,sao gabriel da cachoeira,-0.1303,-67.0892,32.89,62,20,3.6,BR,1681932582
164,barra de santo antonio,-9.4047,-35.5072,30.6,74,15,7.15,BR,1681932582
165,castillos,-34.1667,-53.8333,13.81,81,76,4.12,UY,1681932582
166,ciudad lazaro cardenas,17.9583,-102.2,29.07,57,41,5.07,MX,1681932583
167,huancavelica,-12.7667,-74.9833,11.36,59,36,3.81,PE,1681932583
168,tolanaro,-25.0319,46.9987,24.04,88,20,3.09,MG,1681932404
169,susuman,62.7833,148.1667,-13.77,98,100,2.19,RU,1681932421
170,yerofey pavlovich,53.9667,121.9667,-3.01,61,100,4.32,RU,1681932452
171,suzhou,31.3114,120.6181,17.11,88,100,2.5,CN,1681932583
172,colares,38.7992,-9.4469,18.55,72,20,6.71,PT,1681932084
173,pestretsy,55.7531,49.6545,9.08,74,99,2.17,RU,1681932583
174,lengshuitan,26.4111,111.5956,20.99,89,0,0.68,CN,1681932583
175,liaoyuan,42.9036,125.1358,14.23,48,100,7.81,CN,1681932583
176,nova vicosa,-17.8919,-39.3719,30.27,72,8,7.04,BR,1681932436
177,lihue,21.9789,-159.3672,25.41,72,20,3.6,US,1681932434
178,kitami,43.8031,143.8908,5.07,88,96,1.61,JP,1681932584
179,kristinehamn,59.3098,14.1081,9.31,57,1,2.41,SE,1681932584
180,tralee,52.2704,-9.7026,10.58,85,94,3.34,IE,1681932584
181,yuzhno-kurilsk,44.0306,145.8556,3.56,83,52,2.07,RU,1681932404
182,kapuskasing,49.4169,-82.4331,-0.95,74,75,8.23,CA,1681932415
183,port macquarie,-31.4333,152.9167,14.94,82,92,3.4,AU,1681932401
184,amga,60.8953,131.9608,-6.59,97,100,0.94,RU,1681932459
185,kerikeri,-35.2268,173.9474,19.95,97,94,1.34,NZ,1681932410
186,saint-francois,46.4154,3.9054,14.69,55,0,3.09,FR,1681932584
187,bastia,42.6667,9.3333,14.61,78,20,1.03,FR,1681932584
188,mpanda,-6.3655,31.0409,18.67,95,53,1.18,TZ,1681932584
189,priob'ye,62.5206,65.5964,-4.75,96,100,2.46,RU,1681932585
190,sangola,17.4333,75.2,34.04,19,33,3.35,IN,1681932585
191,camana,-16.6228,-72.7111,22.77,70,7,3.38,PE,1681932585
192,notodden,59.5594,9.2585,9.28,63,7,1.99,NO,1681932583
193,cole harbour,44.6724,-63.4751,13.66,69,40,5.14,CA,1681932585
194,port alfred,-33.5906,26.891,22.88,78,75,3.79,ZA,1681932467
195,papatowai,-46.5619,169.4708,9.03,94,96,2.75,NZ,1681932402
196,cockburn town,21.4612,-71.1419,26.09,75,0,5.32,TC,1681932585
197,guarapari,-20.6667,-40.4975,33.27,72,100,2.93,BR,1681932585
198,itoman,26.1247,127.6694,23.43,98,100,4.12,JP,1681932420
199,kemalpasa,38.4262,27.4173,13.32,82,21,1.63,TR,1681932585
200,hermanus,-34.4187,19.2345,14.33,79,100,2.1,ZA,1681932411
201,hyderabad,17.3753,78.4744,28.73,42,40,2.57,IN,1681932501
202,i-n-salah,27.1935,2.4607,30.95,15,8,4.25,DZ,1681932416
203,kailua-kona,19.6406,-155.9956,24.98,94,100,10.8,US,1681932342
204,buala,-8.145,159.5921,25.51,79,8,1.17,SB,1681932586
205,limon,10.0,-83.0333,29.94,66,0,3.09,CR,1681932586
206,shingu,33.7333,135.9833,17.01,92,100,1.87,JP,1681932586
207,pathein,16.7833,94.7333,26.55,82,0,3.83,MM,1681932464
208,tenenkou,14.4572,-4.9169,35.98,8,100,1.84,ML,1681932586
209,fort st. john,56.2499,-120.8529,3.94,65,100,2.57,CA,1681932129
210,faya-largeau,17.9257,19.1043,36.09,8,76,4.43,TD,1681932586
211,naolinco de victoria,19.65,-96.85,26.84,48,100,2.59,MX,1681932586
212,nhamunda,-2.1861,-56.7131,29.22,77,96,0.25,BR,1681932586
213,alice springs,-23.7,133.8833,10.75,87,0,4.63,AU,1681932379
214,kendari,-3.945,122.4989,24.05,95,100,1.57,ID,1681932587
215,ciudad guadalupe victoria,24.4497,-104.1225,26.4,14,69,5.4,MX,1681932338
216,petoskey,45.3733,-84.9553,8.17,73,100,2.24,US,1681932587
217,flying fish cove,-10.4217,105.6791,26.67,80,86,7.98,CX,1681932429
218,sur,22.5667,59.5289,26.85,69,65,5.16,OM,1681932587
219,homnabad,17.7667,77.1333,31.35,27,16,2.19,IN,1681932587
220,retreat,38.8245,-85.8533,27.08,46,100,5.7,US,1681932587
221,ta`u,-14.2336,-169.5144,28.46,76,97,8.69,AS,1681932587
222,cooma,-36.2333,149.1333,7.4,93,65,0.3,AU,1681932587
223,bell ville,-32.6259,-62.6887,25.93,33,5,8.81,AR,1681932587
224,whitehorse,60.7161,-135.0538,5.57,64,75,0.0,CA,1681932242
225,fortuna,40.5982,-124.1573,13.85,58,14,1.34,US,1681931998
226,lorengau,-2.0226,147.2712,26.6,79,51,2.17,PG,1681932422
227,as safirah,36.077,37.3725,21.93,40,100,2.33,SY,1681932588
228,palangkaraya,-2.2,113.8333,24.21,97,100,0.46,ID,1681932588
229,alofi,-19.0595,-169.9187,24.94,100,100,3.09,NU,1681932588
230,peterborough,52.5736,-0.2478,9.97,66,0,8.75,GB,1681932588
231,san andres,12.5847,-81.7006,31.01,62,20,5.14,CO,1681932588
232,yeniseysk,58.4497,92.1703,-8.18,95,99,1.71,RU,1681932588
233,brisas de zicatela,15.8369,-97.0419,31.29,62,0,5.14,MX,1681932588
234,chenaran,36.6455,59.1212,10.1,18,0,3.13,IR,1681932588
235,bathsheba,13.2167,-59.5167,29.34,65,40,6.17,BB,1681932588
236,branson,36.6437,-93.2185,26.29,62,75,5.14,US,1681932588
237,la sarre,48.8002,-79.1996,-1.24,70,100,4.9,CA,1681932589
238,hede,33.7681,120.2517,14.71,98,1,2.94,CN,1681932589
239,uturoa,-16.7333,-151.4333,27.93,79,87,7.19,PF,1681932419
240,katsuura,35.1333,140.3,17.1,94,100,3.8,JP,1681932448
241,villena,38.6373,-0.8657,14.47,62,100,1.84,ES,1681932589
242,charnay-les-macon,46.3075,4.7848,12.94,74,0,1.73,FR,1681932589
243,cabo san lucas,22.8909,-109.9124,28.12,65,40,3.6,MX,1681932462
244,sao vicente,-23.9631,-46.3919,29.1,51,40,2.24,BR,1681932590
245,hirara,24.8,125.2833,25.15,94,100,8.23,JP,1681932483
246,ashmun,30.2986,30.9764,23.47,68,5,6.81,EG,1681932590
247,leongatha,-38.4833,145.95,8.47,81,98,1.72,AU,1681932590
248,durango,24.8333,-104.8333,26.52,14,100,6.69,MX,1681932279
249,gadzhiyevo,69.2551,33.3362,2.88,93,100,8.25,RU,1681932407
250,vorkuta,67.5,64.0,-6.28,96,100,3.72,RU,1681932133
251,al qubbah,32.7616,22.2424,10.67,84,2,6.87,LY,1681932591
252,bowen,-20.0167,148.2333,21.83,82,98,3.62,AU,1681932591
253,nelson,-41.2833,173.2833,11.83,94,33,1.36,NZ,1681932591
254,singkil,-7.9855,111.4161,23.94,92,11,1.55,ID,1681932591
255,rustaq,23.3908,57.4244,27.31,39,100,0.44,OM,1681932591
256,biloela,-24.4167,150.5,16.06,86,45,2.64,AU,1681932462
